loan_id,amount,duration,payments,status,loan_age,frequency,num_clients,account_age,sex,age,num_salaries,average_salary,recent_balance,household_payments,insurrance_payments,sanction_payment_counter,old_age_pensions,month_balance,3_month_balance,6_month_balance,12_month_balance,code,name,region,population,munip<499,munip500-1999,munip2000-9999,munip>10000,cities,urbanization,unemployment96,entrepreneurs/1000,crimegrowth,unempgrowth,code_branch,name_branch,region_branch,population_branch,munip<499_branch,munip500-1999_branch,munip2000-9999_branch,munip>10000_branch,cities_branch,urbanization_branch,unemployment96_branch,entrepreneurs/1000_branch,crimegrowth_branch,unempgrowth_branch
5314,96396,12,8033,-1,3,0,1,3,0,49,2.0,9500.0,20100.0,0.0,0.0,0.0,0.0,11000.0,,,,30,0,0,94812,15,13,8,2,10,81.8,3.67,100,0.9393634840871021,1.0857988165680474,30,0,0,94812,15,13,8,2,10,81.8,3.67,100,0.9393634840871021,1.0857988165680474
6903,52128,24,2172,1,2,1,1,3,0,37,8.0,2438.25,58659.8,0.0,0.0,6.0,0.0,18958.9,33010.4,57970.3,,11,1,1,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111,30,0,0,94812,15,13,8,2,10,81.8,3.67,100,0.9393634840871021,1.0857988165680474
5316,165960,36,4610,1,3,1,1,3,1,28,4.0,12876.500000000002,52208.9,2.0,3.0,0.0,0.0,31481.0,89045.8,,,46,2,2,112709,48,20,7,3,10,73.5,2.31,117,0.9173090399439383,1.2905027932960893,46,1,1,112709,48,20,7,3,10,73.5,2.31,117,0.9173090399439383,1.2905027932960893
6456,47016,12,3918,1,3,2,1,3,0,39,7.0,4648.6285714285705,58773.2,4.0,0.0,0.0,0.0,101285.4,62474.5,23941.9,,46,2,2,112709,48,20,7,3,10,73.5,2.31,117,0.9173090399439383,1.2905027932960893,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6509,55368,24,2307,1,2,1,1,3,0,57,11.0,-1303.5999999999992,12414.4,0.0,0.0,0.0,0.0,24133.7,87037.8,69576.5,,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6808,227880,36,6330,1,2,1,2,3,0,41,12.0,1610.216666666666,53716.6,0.0,0.0,0.0,0.0,41837.4,19205.9,20542.7,1100.0,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6745,47304,24,1971,1,1,1,1,3,1,25,16.0,815.0250000000001,62458.3,14.0,0.0,0.0,0.0,87026.9,47089.0,91901.5,52827.7,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6764,33984,48,708,1,1,1,1,2,1,24,11.0,2763.7636363636366,44465.4,0.0,0.0,0.0,0.0,50798.2,54277.5,43090.9,,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6933,188688,48,3931,1,1,1,1,1,0,31,5.0,4635.9400000000005,23579.7,1.0,0.0,0.0,0.0,44631.5,35610.7,,,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
5494,360000,48,7500,1,0,2,1,2,0,23,19.0,3377.115789473684,64765.2,0.0,0.0,6.0,0.0,79746.9,49549.1,43472.0,92535.3,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
