disp_id,client_id,account_id,branch_district_id,frequency,creation,num_clients,account_age,client_district_id,sex,birthdate,age,card_type,card_issue,num_salaries,average_salary,recent_balance,household_payments,payment_for_statement_counter,insurrance_payments,sanction_payment_counter,old_age_pensions,month_balance,3_month_balance,6_month_balance,12_month_balance
2,2,2,1,monthly issuance,1993-02-26,2,3,1,Male,1945-02-04,51,,,10.0,2675.52,27855.2,5.0,6.0,0.0,0.0,0.0,31839.5,21788.6,45289.5,
25,25,19,21,monthly issuance,1995-04-07,1,1,21,Female,1939-04-23,57,,,12.0,-23.75,15854.0,8.0,8.0,0.0,0.0,0.0,35162.2,36224.4,33262.3,16139.0
78,78,67,16,monthly issuance,1994-10-19,1,2,16,Female,1944-06-13,52,,,18.0,-1027.011111111111,23703.8,14.0,14.0,0.0,0.0,0.0,22495.2,49592.2,49192.6,45374.0
158,158,132,40,issuance after transaction,1996-05-11,2,0,40,Female,1945-07-03,51,,,5.0,-667.6599999999977,78907.6,0.0,4.0,0.0,0.0,0.0,51146.1,68400.5,,
210,210,173,66,monthly issuance,1993-11-26,2,3,66,Male,1939-11-30,57,,,5.0,309.08000000000027,28015.4,2.0,1.0,2.0,0.0,0.0,41885.3,52226.2,,
352,352,290,56,monthly issuance,1993-12-02,1,3,56,Male,1940-08-27,56,,,11.0,2262.472727272727,25187.2,6.0,6.0,0.0,0.0,0.0,31615.1,36182.8,77401.1,
421,421,344,54,monthly issuance,1993-12-01,1,3,54,Male,1965-07-31,31,,,12.0,2259.6416666666664,48637.7,9.0,8.0,0.0,0.0,0.0,46546.8,38521.8,46476.8,21522.0
424,424,347,65,monthly issuance,1993-12-13,1,3,1,Male,1947-10-08,49,,,16.0,1615.8687499999999,50846.7,0.0,12.0,0.0,1.0,0.0,5133.8,67324.5,45989.3,69539.0
512,512,426,1,monthly issuance,1993-11-29,1,3,60,Female,1965-08-03,31,,,7.0,9885.214285714286,70096.5,5.0,5.0,0.0,0.0,0.0,70138.5,82309.9,44104.2,
603,603,501,13,monthly issuance,1995-10-21,1,1,13,Female,1966-03-09,30,,,12.0,6265.1083333333345,76081.3,0.0,10.0,0.0,0.0,0.0,30413.6,48652.1,29749.2,
655,655,544,32,monthly issuance,1995-05-15,1,1,32,Male,1942-12-10,54,classic,1996-08-08,15.0,2598.586666666667,39378.8,0.0,10.0,0.0,0.0,0.0,56976.3,58419.5,44706.2,42177.3
944,944,789,39,monthly issuance,1995-02-06,2,1,39,Male,1970-12-18,26,,,9.0,1705.9666666666667,21545.7,5.0,5.0,0.0,0.0,0.0,24364.3,25435.7,32750.6,
946,946,790,54,monthly issuance,1993-05-11,1,3,54,Male,1951-08-06,45,,,14.0,5798.185714285714,81474.6,0.0,8.0,0.0,0.0,0.0,27105.2,13046.6,42159.9,35817.2
968,968,808,69,monthly issuance,1995-06-13,1,1,69,Male,1957-02-17,39,,,9.0,-775.488888888889,8640.6,5.0,5.0,0.0,2.0,0.0,28275.4,31461.2,50124.8,
976,976,813,16,monthly issuance,1993-02-10,1,3,16,Female,1955-11-19,41,,,14.0,215.60000000000016,28461.9,0.0,11.0,0.0,0.0,0.0,29283.1,20296.4,26074.5,30530.3
980,980,816,52,monthly issuance,1993-08-05,1,3,40,Male,1961-09-30,35,,,17.0,2811.388235294118,47993.6,12.0,12.0,0.0,0.0,0.0,85422.4,56824.3,41145.0,38071.7
981,981,817,5,monthly issuance,1994-03-18,1,2,5,Male,1960-06-28,36,,,11.0,2097.3636363636365,23271.0,7.0,6.0,0.0,0.0,0.0,30894.5,25019.4,36548.2,
1020,1020,846,72,monthly issuance,1996-03-09,1,0,72,Female,1977-05-10,19,,,4.0,33269.425,133377.7,0.0,2.0,0.0,0.0,0.0,50052.7,87857.5,,
1029,1029,854,62,monthly issuance,1993-09-21,1,3,1,Female,1954-03-16,42,,,19.0,825.8052631578947,26795.3,16.0,15.0,16.0,0.0,0.0,30371.9,34341.6,34729.7,38106.7
1102,1102,915,72,monthly issuance,1995-01-18,1,1,72,Male,1935-01-29,61,,,7.0,1772.2000000000003,51799.4,4.0,3.0,0.0,0.0,0.0,60112.2,56822.2,69943.7,
1133,1133,940,37,monthly issuance,1994-11-15,2,2,37,Female,1958-09-15,38,,,18.0,5239.850000000001,94617.3,0.0,13.0,0.0,0.0,0.0,74831.1,99245.1,78891.4,67470.6
1157,1157,960,4,issuance after transaction,1994-11-02,1,2,4,Female,1958-12-30,38,,,6.0,4789.100000000001,68945.6,3.0,2.0,0.0,0.0,0.0,83540.3,101537.3,40211.0,
1215,1215,1011,45,monthly issuance,1994-12-17,1,2,45,Male,1944-05-06,52,,,11.0,2206.790909090909,45077.7,8.0,7.0,0.0,0.0,0.0,46347.3,49475.2,61087.8,
1216,1216,1012,65,monthly issuance,1994-07-09,1,2,65,Female,1945-06-12,51,,,3.0,14637.033333333335,68956.1,0.0,0.0,0.0,0.0,0.0,37584.2,25045.0,,
1286,1286,1071,68,weekly issuance,1993-05-10,1,3,52,Female,1950-03-13,46,,,8.0,8089.575000000002,81150.6,0.0,5.0,0.0,0.0,0.0,15124.2,32770.4,57118.4,
1327,1327,1106,20,weekly issuance,1993-08-29,1,3,20,Female,1963-12-31,33,,,14.0,1532.5357142857142,22255.5,0.0,6.0,0.0,0.0,0.0,28375.0,14748.8,35823.9,24038.2
1404,1404,1166,11,monthly issuance,1993-04-21,1,3,11,Female,1968-12-20,28,,,9.0,2092.6111111111113,19033.5,5.0,5.0,0.0,0.0,0.0,37087.5,24346.1,40904.8,
1505,1505,1247,25,monthly issuance,1993-06-08,1,3,65,Female,1971-06-25,25,,,20.0,1633.3400000000001,32966.8,0.0,12.0,0.0,1.0,0.0,15940.0,41944.2,34503.5,127684.9
1509,1509,1250,62,monthly issuance,1996-03-28,1,0,62,Female,1942-04-19,54,,,7.0,66.75714285714328,23898.3,3.0,3.0,0.0,0.0,0.0,31249.3,49909.7,43473.5,
1516,1516,1256,38,monthly issuance,1994-04-21,1,2,38,Female,1946-10-17,50,,,12.0,1285.4166666666667,31397.0,9.0,8.0,0.0,0.0,0.0,37168.2,26671.3,38037.2,15972.0
1663,1663,1375,19,monthly issuance,1994-04-27,1,2,19,Male,1957-04-29,39,,,15.0,1249.9,39839.5,12.0,11.0,0.0,0.0,0.0,53496.6,53171.1,51764.7,61707.7
1851,1851,1527,31,issuance after transaction,1993-11-17,1,3,31,Female,1975-09-12,21,,,11.0,-5808.181818181817,20811.2,0.0,10.0,0.0,1.0,0.0,25499.9,-1442.3,32884.2,
1917,1917,1583,69,issuance after transaction,1994-11-17,1,2,69,Female,1969-03-13,27,,,20.0,-2302.3099999999995,38697.3,0.0,20.0,0.0,4.0,0.0,34538.1,36830.5,13104.2,-433.9
1944,1944,1603,1,monthly issuance,1993-05-09,1,3,31,Female,1957-01-22,39,,,9.0,2633.4444444444443,24601.0,4.0,5.0,0.0,0.0,0.0,27034.0,22867.6,30884.3,
2063,2063,1698,68,monthly issuance,1996-03-14,1,0,68,Female,1950-09-26,46,,,3.0,15479.9,47239.7,0.0,0.0,0.0,0.0,0.0,34303.6,800.0,,
2136,2136,1762,28,monthly issuance,1993-12-11,1,3,28,Female,1940-07-24,56,,,16.0,2531.7875,41108.6,11.0,11.0,11.0,0.0,0.0,37004.2,34161.1,44137.8,54482.9
2141,2141,1766,28,monthly issuance,1994-09-03,1,2,28,Male,1951-09-06,45,classic,1996-01-01,21.0,1353.109523809524,48523.3,17.0,17.0,17.0,0.0,0.0,43117.9,42918.4,58182.3,62533.2
2148,2148,1772,31,weekly issuance,1995-02-20,1,1,31,Female,1953-07-20,43,,,12.0,2693.716666666667,81623.6,9.0,8.0,0.0,0.0,0.0,75031.1,58920.9,45640.6,49299.0
2166,2166,1787,30,weekly issuance,1993-03-22,1,3,30,Female,1947-07-22,49,,,2.0,9500.0,20100.0,0.0,0.0,0.0,0.0,0.0,11000.0,,,
